epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4302,1.47909,3.31326,2.00847,0.00327,1,0.58204,0.30836,0.9327,3.83003,1.98386,0.000125,0.000125,0.000125
2,23.8317,1.31987,3.09757,1.85154,0.00331,1,0.70183,0.52243,0.73352,3.72658,1.45268,0.000257303,0.000257303,0.000257303
3,33.2129,0.88973,2.71392,1.50943,0.01075,1,0.70183,0.5631,0.68237,3.57536,1.33574,0.00038416,0.00038416,0.00038416
4,42.2954,0.92131,2.50112,1.44439,0.98558,0.25,0.796,0.6567,0.74531,3.3823,1.38598,0.000505572,0.000505572,0.000505572
5,51.7062,0.7474,2.00895,1.27413,0.00427,1,0.88444,0.74349,0.64722,3.06214,1.18213,0.00062154,0.00062154,0.00062154
6,61.4858,0.73564,1.90464,1.28123,0.85058,0.75,0.995,0.8955,0.54737,2.45786,1.08466,0.000732063,0.000732063,0.000732063
7,72.9201,0.66749,1.65395,1.21498,0.8411,1,0.995,0.8955,0.57699,1.89463,1.06992,0.00083714,0.00083714,0.00083714
8,84.3764,0.62416,1.68313,1.20675,0.58688,1,0.995,0.85819,0.76188,2.21632,1.25905,0.000936772,0.000936772,0.000936772
9,95.8763,0.63427,1.48213,1.16092,0.58688,1,0.995,0.85819,0.76188,2.21632,1.25905,0.00103096,0.00103096,0.00103096
10,105.628,0.63131,1.33746,1.12279,0.98353,0.5,0.87062,0.78356,0.8709,2.4286,1.40716,0.00102725,0.00102725,0.00102725
11,114.575,0.56745,1.30076,1.11601,0.87771,0.75,0.81171,0.57751,0.82301,2.8722,1.24321,0.0010025,0.0010025,0.0010025
12,123.515,0.53589,1.25603,1.10364,0.87771,0.75,0.81171,0.57751,0.82301,2.8722,1.24321,0.00097775,0.00097775,0.00097775
13,132.576,0.77366,1.40841,1.28712,0.68745,1,0.995,0.8955,0.43933,2.14047,0.7691,0.000953,0.000953,0.000953
